front, title, flavs, body, sweetness, tannin, acidity
/tfwc/assets/wines/wendyChard_NaturalWhite_32_somAll.png,Wendy Chardonnay 2024, lemon citrus fruity apple-green mineral earthy floral white blossom,medium,dry,low,med-high
/tfwc/assets/wines/xOff_white_36_somAll.png,X Off-Dry Riesling 2024,white blossom floral blossom grapefruit citrus lime mineral earthy rock pear fruity,light,sweet,low,medium
/tfwc/assets/wines/NakedGarganega_white_35_somAll.png,Naked Garganega 2021,fruity pear citrus lemon floral blossom mineral rock,light-med,bone dry,med
/tfwc/assets/wines/LazarusRipassoRosso_red_30_somAll.png,Lazarus Ripasso Rosso NV,fruity stone fruit stonefruit spicy earthy oak, medium,dry,med,med-low
/tfwc/assets/wines/acmeGamay_red_36_somAll.png,Adelaide Hills Gamay 2024,fruity raspberry earthy pepper spicy,medium,dry,low,medium
/tfwc/assets/wines/Fresco_red_30_somAll.png,Fresco Nebbiolo / Barbera / Dolcetto / Pinot Nero 2022,fruity stonefruit stone fruit cherry spicy rose blossom floral,medium,dry,low,medium
/tfwc/assets/wines/FringeRose_rose_24_somall.png,Fringe Societe Rose,fruity berry cherry white blossom floral citrus,med,bone dry,low,med
/tfwc/assets/wines/fringeGrenache_white_24_somall.png,Grenache Blanc,citrus lemon tropical mineral rock earthy pineaple fruity,medium,bone dry,low,medium
